X	Y
0.198	0.404
0.131	0.441
0.135	0.440
0.161	0.364
0.211	0.396
0.148	0.404
0.134	0.445
0.147	0.442
0.200	0.482
0.189	0.462
0.204	0.427
0.169	0.436
0.184	0.434
0.131	0.409
0.155	0.429
0.154	0.415
0.155	0.419
0.177	0.481
0.172	0.504
0.163	0.447
0.186	0.464
0.140	0.508
0.159	0.455
0.176	0.456
0.184	0.503
0.196	0.418
0.173	0.423
0.170	0.469
0.149	0.476
0.122	0.462
0.115	0.431
0.230	0.409
0.240	0.472
0.182	0.492
0.198	0.483
0.140	0.404
0.156	0.487
0.153	0.441
0.179	0.457
0.229	0.500
0.184	0.437
0.162	0.412
0.162	0.456
0.196	0.462
0.198	0.475
0.180	0.515
0.193	0.497
0.140	0.485
0.141	0.495
0.219	0.393
0.219	0.450
0.190	0.510
0.206	0.468
0.189	0.488
0.160	0.487
0.121	0.531
0.201	0.531
0.165	0.476
0.168	0.447
0.195	0.457
0.174	0.478
0.215	0.499
0.161	0.529
0.179	0.497
0.200	0.439
0.180	0.443
0.138	0.502
0.162	0.503
0.152	0.451
0.219	0.503
0.146	0.568
0.159	0.536
0.153	0.477
0.212	0.571
0.178	0.544
0.211	0.480
0.204	0.481
0.219	0.533
0.178	0.538
0.227	0.542
0.192	0.468
0.138	0.543
0.214	0.507
0.154	0.522
0.222	0.536
0.232	0.540
0.183	0.535
0.174	0.663
0.213	0.526
0.225	0.503
0.253	0.467
0.237	0.536
0.175	0.560
0.206	0.552
0.220	0.552
0.254	0.551
0.202	0.572
0.192	0.520
0.219	0.578
0.234	0.492
0.212	0.570
0.257	0.530
0.171	0.543
0.253	0.579
0.278	0.542
0.253	0.571
0.219	0.654
0.288	0.598
0.216	0.541
0.214	0.609
0.185	0.579
0.279	0.602
0.249	0.516
0.202	0.620
0.218	0.551
0.279	0.592
0.280	0.625
0.181	0.655
0.269	0.614
0.223	0.577
0.209	0.598
0.200	0.532
0.224	0.572
0.248	0.594
0.223	0.555
0.236	0.568
0.208	0.609
0.214	0.643
0.276	0.587
0.221	0.561
0.243	0.577
0.271	0.549
0.255	0.627
0.299	0.639
0.218	0.605
0.263	0.650
0.271	0.604
0.265	0.535
0.260	0.631
0.262	0.592
0.297	0.618
0.264	0.611
0.289	0.616
0.242	0.629
0.268	0.620
0.256	0.654
0.322	0.645
0.249	0.720
0.246	0.580
0.266	0.641
0.278	0.648
0.339	0.660
0.253	0.637
0.288	0.649
0.323	0.705
0.247	0.608
0.220	0.642
0.244	0.589
0.304	0.640
0.257	0.599
0.275	0.660
0.310	0.663
0.249	0.604
0.331	0.645
0.303	0.671
0.346	0.637
0.306	0.558
0.283	0.677
0.255	0.620
0.240	0.613
0.244	0.625
0.286	0.667
0.302	0.716
0.324	0.646
0.260	0.640
0.282	0.690
0.316	0.700
0.274	0.639
0.283	0.642
0.209	0.625
0.288	0.618
0.309	0.661
0.290	0.684
0.297	0.573
0.257	0.615
0.245	0.652
0.241	0.648
0.249	0.669
0.203	0.671
0.288	0.670
0.318	0.618
0.357	0.691
0.275	0.639
0.296	0.687
0.355	0.671
0.291	0.679
0.337	0.611
0.300	0.708
0.267	0.622
0.320	0.673
0.274	0.603
0.298	0.634
0.292	0.706
0.302	0.704
0.253	0.652
0.253	0.676
0.329	0.666
0.306	0.685
0.297	0.655
0.292	0.649
0.243	0.677
0.293	0.689
0.290	0.708
0.288	0.644
0.281	0.647
0.320	0.659
0.321	0.665
0.258	0.631
0.290	0.660
0.313	0.611
0.273	0.725
0.308	0.664
0.294	0.712
0.324	0.677
0.288	0.731
0.325	0.655
0.235	0.676
0.273	0.658
0.293	0.643
0.363	0.683
0.333	0.637
0.291	0.685
0.297	0.690
0.303	0.652
0.331	0.595
0.351	0.702
0.268	0.625
0.341	0.647
0.290	0.682
0.294	0.676
0.299	0.677
0.296	0.662
0.313	0.644
0.333	0.706
0.280	0.740
0.330	0.724
0.302	0.646
0.291	0.658
0.349	0.723
0.361	0.644
0.299	0.701
0.328	0.641
0.391	0.741
0.402	0.680
0.323	0.668
0.294	0.730
0.323	0.638
0.393	0.698
0.322	0.652
0.365	0.699
0.337	0.712
0.311	0.622
0.381	0.665
0.365	0.654
0.336	0.711
0.317	0.667
0.340	0.632
0.329	0.660
0.322	0.698
0.324	0.707
0.371	0.703
0.330	0.685
0.343	0.743
0.357	0.708
0.368	0.735
0.340	0.674
0.332	0.735
0.352	0.683
0.369	0.693
0.325	0.673
0.338	0.696
0.336	0.710
0.338	0.716
0.349	0.711
0.394	0.750
0.395	0.684
0.350	0.774
0.406	0.668
0.372	0.671
0.304	0.699
0.355	0.706
0.414	0.677
0.330	0.726
0.356	0.771
0.382	0.624
0.390	0.689
0.352	0.762
0.370	0.703
0.406	0.723
0.365	0.762
0.333	0.735
0.417	0.731
0.411	0.693
0.384	0.719
0.388	0.705
0.361	0.672
0.448	0.642
0.370	0.668
0.331	0.688
0.306	0.689
0.459	0.702
0.371	0.674
0.368	0.747
0.350	0.737
0.392	0.647
0.381	0.640
0.396	0.750
0.377	0.640
0.333	0.714
0.399	0.668
0.389	0.732
0.343	0.713
0.299	0.694
0.386	0.724
0.423	0.676
0.401	0.738
0.395	0.717
0.410	0.692
0.391	0.740
0.362	0.721
0.399	0.730
0.406	0.685
0.367	0.647
0.389	0.710
0.434	0.722
0.356	0.725
0.383	0.708
0.344	0.667
0.411	0.695
0.453	0.678
0.434	0.664
0.445	0.730
0.411	0.698
0.457	0.685
0.400	0.785
0.402	0.695
0.441	0.754
0.421	0.721
0.344	0.693
0.423	0.762
0.416	0.715
0.366	0.708
0.397	0.694
0.408	0.717
0.376	0.655
0.421	0.718
0.404	0.686
0.420	0.712
0.424	0.737
0.362	0.757
0.415	0.640
0.425	0.725
0.449	0.705
0.427	0.648
0.458	0.748
0.376	0.720
0.413	0.749
0.430	0.682
0.460	0.719
0.434	0.715
0.399	0.740
0.491	0.728
0.424	0.690
0.470	0.738
0.389	0.718
0.436	0.815
0.347	0.760
0.432	0.739
0.406	0.787
0.377	0.754
0.356	0.746
0.457	0.724
0.386	0.756
0.457	0.752
0.462	0.663
0.407	0.726
0.418	0.670
0.408	0.739
0.400	0.745
0.426	0.684
0.415	0.725
0.429	0.703
0.413	0.655
0.405	0.745
0.474	0.730
0.402	0.723
0.461	0.743
0.437	0.721
0.442	0.744
0.432	0.767
0.440	0.703
0.447	0.732
0.461	0.744
0.440	0.762
0.435	0.730
0.420	0.773
0.509	0.741
0.463	0.772
0.438	0.752
0.429	0.759
0.447	0.720
0.451	0.668
0.396	0.769
0.450	0.707
0.462	0.715
0.400	0.711
0.494	0.722
0.460	0.775
0.479	0.738
0.457	0.743
0.508	0.742
0.480	0.661
0.474	0.730
0.450	0.801
0.503	0.694
0.457	0.734
0.432	0.694
0.495	0.733
0.429	0.743
0.485	0.739
0.474	0.792
0.462	0.787
0.402	0.734
0.481	0.712
0.451	0.709
0.444	0.805
0.468	0.717
0.413	0.683
0.438	0.752
0.482	0.693
0.496	0.762
0.482	0.759
0.464	0.712
0.448	0.783
0.469	0.693
0.481	0.774
0.435	0.683
0.516	0.742
0.423	0.657
0.499	0.760
0.520	0.738
0.501	0.778
0.418	0.781
0.505	0.723
0.426	0.733
0.441	0.767
0.507	0.723
0.460	0.709
0.512	0.730
0.456	0.732
0.487	0.755
0.518	0.707
0.491	0.772
0.503	0.689
0.512	0.743
0.513	0.726
0.493	0.665
0.523	0.780
0.497	0.803
0.468	0.757
0.549	0.793
0.485	0.718
0.540	0.725
0.546	0.740
0.523	0.791
0.435	0.770
0.474	0.750
0.523	0.771
0.497	0.739
0.467	0.706
0.525	0.702
0.492	0.742
0.507	0.734
0.508	0.752
0.505	0.738
0.488	0.685
0.456	0.727
0.456	0.725
0.486	0.736
0.468	0.747
0.524	0.752
0.485	0.739
0.498	0.724
0.549	0.700
0.528	0.769
0.536	0.733
0.527	0.716
0.544	0.719
0.503	0.755
0.497	0.723
0.561	0.784
0.563	0.696
0.534	0.726
0.597	0.728
0.495	0.775
0.475	0.746
0.430	0.757
0.540	0.762
0.529	0.725
0.536	0.737
0.507	0.775
0.524	0.742
0.521	0.730
0.536	0.666
0.521	0.718
0.472	0.759
0.598	0.707
0.507	0.765
0.499	0.684
0.512	0.694
0.547	0.701
0.519	0.732
0.473	0.761
0.541	0.766
0.562	0.772
0.534	0.814
0.539	0.726
0.550	0.798
0.507	0.771
0.487	0.730
0.530	0.739
0.536	0.847
0.594	0.714
0.620	0.738
0.566	0.741
0.515	0.720
0.520	0.662
0.600	0.726
0.562	0.686
0.569	0.729
0.550	0.753
0.559	0.744
0.571	0.771
0.554	0.768
0.572	0.758
0.537	0.707
0.604	0.734
0.617	0.705
0.557	0.744
0.563	0.768
0.497	0.726
0.629	0.717
0.547	0.736
0.546	0.769
0.591	0.745
0.556	0.753
0.547	0.803
0.534	0.787
0.552	0.721
0.486	0.700
0.618	0.768
0.614	0.696
0.565	0.690
0.531	0.769
0.585	0.730
0.512	0.698
0.585	0.732
0.565	0.720
0.569	0.734
0.565	0.715
0.571	0.752
0.588	0.724
0.586	0.759
0.557	0.744
0.565	0.709
0.532	0.741
0.571	0.734
0.506	0.749
0.545	0.784
0.526	0.645
0.631	0.750
0.538	0.786
0.536	0.704
0.579	0.728
0.565	0.746
0.628	0.786
0.581	0.746
0.593	0.714
0.610	0.739
0.535	0.697
0.579	0.773
0.636	0.702
0.569	0.684
0.534	0.702
0.624	0.699
0.570	0.749
0.608	0.732
0.606	0.773
0.565	0.711
0.588	0.728
0.583	0.754
0.563	0.767
0.599	0.767
0.586	0.725
0.629	0.726
0.567	0.714
0.633	0.711
0.552	0.712
0.568	0.719
0.617	0.690
0.558	0.738
0.564	0.706
0.571	0.737
0.603	0.726
0.554	0.708
0.639	0.723
0.589	0.725
0.598	0.717
0.640	0.725
0.608	0.723
0.620	0.735
0.622	0.779
0.639	0.709
0.655	0.729
0.650	0.694
0.615	0.693
0.623	0.686
0.646	0.704
0.658	0.698
0.603	0.677
0.672	0.650
0.635	0.700
0.652	0.693
0.650	0.631
0.620	0.711
0.672	0.678
0.685	0.691
0.686	0.648
0.623	0.723
0.658	0.696
0.690	0.730
0.676	0.742
0.647	0.736
0.694	0.675
0.640	0.658
0.680	0.673
0.717	0.732
0.601	0.687
0.655	0.699
0.671	0.714
0.674	0.640
0.599	0.701
0.655	0.721
0.636	0.659
0.635	0.694
0.635	0.666
0.674	0.662
0.668	0.674
0.654	0.673
0.671	0.746
0.667	0.745
0.678	0.676
0.655	0.717
0.681	0.736
0.664	0.702
0.720	0.601
0.669	0.662
0.706	0.698
0.686	0.641
0.780	0.644
0.724	0.685
0.717	0.608
0.691	0.665
0.724	0.714
0.695	0.642
0.766	0.586
0.694	0.574
0.685	0.667
0.749	0.676
0.751	0.600
0.692	0.662
0.661	0.622
0.698	0.640
0.712	0.529
0.735	0.619
0.727	0.608
0.724	0.581
0.719	0.610
0.727	0.648
0.714	0.625
0.726	0.617
0.643	0.652
0.673	0.551
0.750	0.559
0.755	0.601
0.749	0.587
0.755	0.549
0.737	0.549
0.753	0.569
0.702	0.606
0.713	0.552
0.723	0.633
0.694	0.621
0.734	0.512
0.720	0.595
0.714	0.530
0.771	0.553
0.741	0.624
0.753	0.647
0.785	0.564
0.681	0.548
0.792	0.584
0.715	0.535
0.808	0.513
0.733	0.614
0.767	0.581
0.837	0.678
0.730	0.592
0.714	0.580
0.778	0.546
0.787	0.549
0.812	0.518
0.712	0.562
0.735	0.482
0.721	0.599
0.776	0.540
0.795	0.578
0.817	0.514
0.748	0.595
0.721	0.587
0.755	0.553
0.702	0.558
0.704	0.552
0.719	0.504
0.802	0.585
0.763	0.556
0.825	0.547
0.782	0.473
0.767	0.560
0.728	0.553
0.798	0.545
0.835	0.538
0.746	0.512
0.780	0.547
0.725	0.445
0.810	0.598
0.788	0.534
0.699	0.523
0.741	0.543
0.732	0.478
0.805	0.443
0.786	0.515
0.784	0.529
0.780	0.575
0.814	0.532
0.773	0.515
0.807	0.535
0.757	0.490
0.781	0.420
0.767	0.511
0.782	0.416
0.811	0.520
0.822	0.527
0.836	0.468
0.829	0.497
0.794	0.483
0.737	0.484
0.821	0.455
0.759	0.443
0.755	0.438
0.766	0.476
0.841	0.480
0.785	0.550
0.868	0.496
0.776	0.471
0.798	0.497
0.755	0.544
0.811	0.469
0.807	0.441
0.793	0.504
0.765	0.478
0.824	0.437
0.793	0.485
0.804	0.449
0.812	0.481
0.778	0.440
0.867	0.461
0.778	0.433
0.787	0.484
0.832	0.438
0.766	0.435
0.763	0.425
0.788	0.469
0.795	0.418
0.775	0.456
0.810	0.500
0.796	0.409
0.789	0.495
0.824	0.462
0.816	0.459
0.781	0.448
0.835	0.447
0.827	0.392
0.853	0.451
0.780	0.462
0.754	0.433
0.855	0.418
0.796	0.474
0.816	0.483
0.886	0.435
0.823	0.413
0.841	0.475
0.823	0.458
0.818	0.459
0.783	0.461
0.792	0.379
0.806	0.462
0.820	0.413
0.846	0.450
0.848	0.376
0.818	0.433
0.793	0.475
0.820	0.447
0.787	0.469
0.809	0.445
0.796	0.392
0.802	0.439
0.885	0.457
0.811	0.461
0.799	0.409
0.825	0.384
0.775	0.394
0.871	0.385
0.847	0.419
0.817	0.387
0.854	0.368
0.801	0.418
0.875	0.414
0.852	0.405
0.829	0.399
0.816	0.453
0.846	0.440
0.772	0.424
0.829	0.387
0.782	0.366
0.832	0.376
0.784	0.463
0.852	0.417
0.813	0.446
0.789	0.388
0.820	0.429
0.854	0.320
0.832	0.429
0.861	0.375
0.839	0.374
0.848	0.427
0.866	0.421
0.806	0.372
0.850	0.407
0.823	0.342
0.823	0.427
0.798	0.373
0.859	0.311
0.827	0.389
0.854	0.357
0.883	0.352
0.889	0.301
0.812	0.363
0.890	0.304
0.837	0.335
0.857	0.384
0.890	0.392
0.894	0.395
0.845	0.366
0.844	0.283
0.834	0.285
0.824	0.320
0.863	0.360
0.828	0.261
0.849	0.339
0.827	0.403
0.901	0.287
0.845	0.360
0.862	0.324
0.879	0.350
0.872	0.336
0.851	0.352
0.838	0.312
0.908	0.364
0.859	0.385
0.874	0.267
0.841	0.367
0.915	0.336
0.905	0.296
0.882	0.306
0.924	0.326
0.894	0.292
0.871	0.361
0.935	0.395
0.884	0.324
0.821	0.298
0.933	0.343
0.852	0.313
0.826	0.308
0.890	0.316
0.917	0.335
0.864	0.300
0.937	0.292
0.867	0.284
0.902	0.361
0.886	0.304
0.890	0.280
0.878	0.307
0.877	0.315
0.894	0.289
0.850	0.341
0.853	0.347
0.913	0.263
0.845	0.310
0.895	0.271
0.882	0.372
0.878	0.407
0.887	0.424
0.900	0.319
0.844	0.307
0.869	0.290
0.901	0.325
0.917	0.257
0.860	0.265
0.820	0.343
0.874	0.298
0.862	0.350
0.873	0.259
0.880	0.308
0.882	0.297
0.847	0.293
0.921	0.282
0.847	0.222
0.888	0.278
0.883	0.306
0.855	0.265
0.875	0.305
0.862	0.332
0.890	0.257
0.884	0.297
0.865	0.304
0.876	0.313
0.910	0.275
0.907	0.263
0.886	0.261
0.877	0.292
0.910	0.313
0.919	0.290
0.889	0.298
0.942	0.281
0.893	0.272
0.926	0.281
0.925	0.268
0.879	0.260
0.943	0.253
0.944	0.353
0.899	0.329
0.865	0.291
0.879	0.315
0.851	0.287
0.872	0.264
0.877	0.303
0.923	0.325
0.878	0.310
0.945	0.257
0.893	0.211
0.882	0.317
0.873	0.199
0.878	0.231
0.916	0.283
0.918	0.188
0.887	0.254
0.920	0.317
0.972	0.309
0.897	0.253
0.899	0.292
0.914	0.232
0.939	0.300
0.876	0.216
0.945	0.244
0.905	0.277
0.906	0.319
0.862	0.270
0.871	0.284
0.955	0.263
0.888	0.319
0.931	0.260
0.877	0.289
0.900	0.232
0.912	0.240
0.902	0.196
0.882	0.272
0.834	0.173
0.924	0.216
0.911	0.195
0.882	0.269
0.907	0.248
0.840	0.237
0.941	0.271
0.936	0.270
0.903	0.215
0.860	0.255
0.883	0.297
0.964	0.268
0.960	0.242
0.910	0.255
0.851	0.202
0.861	0.280
0.948	0.231
0.901	0.269
0.892	0.208
0.881	0.201
0.900	0.247
0.898	0.229
0.868	0.208
0.939	0.235
0.900	0.187
0.897	0.230
0.936	0.196
0.930	0.224
0.917	0.275
0.912	0.275
0.933	0.281
0.941	0.219
0.925	0.231
0.937	0.210
0.885	0.235
0.899	0.271
0.923	0.171
0.905	0.273
0.903	0.214
0.924	0.263
0.952	0.290
0.923	0.218
0.955	0.174
0.950	0.219
0.917	0.246
0.908	0.245
0.867	0.235
0.918	0.239
0.913	0.193
0.879	0.248
0.931	0.193
0.870	0.184
0.907	0.203
0.902	0.168
0.953	0.192
0.884	0.235
